clean_text,word_count,label,sent_raw,label_auto
coba tanya csnya kak,4,,"{'label': 'neutral', 'score': 0.9998879432678223}",neutral
aman admin banyak promo dana,5,,"{'label': 'neutral', 'score': 0.9854862689971924}",neutral
selow admin jangan dipikirin biar mikir,6,,"{'label': 'negative', 'score': 0.9998177886009216}",negative
tetep kalem dompet tip penting jangan sinis,7,,"{'label': 'neutral', 'score': 0.8802926540374756}",neutral
dana jadi andal buat hemat,5,,"{'label': 'positive', 'score': 0.9999536275863647}",positive
ngadu merchant langsung moga bulan depan beneran tuh duitt sumpah mood banget gara-gara dana aman sekarang,16,,"{'label': 'negative', 'score': 0.9998685121536255}",negative
hari bikin emosi dana tarik kali kayak gin moga dana,10,,"{'label': 'negative', 'score': 0.9998576641082764}",negative
badai lalu gesss ayo semangat,5,,"{'label': 'positive', 'score': 0.9995866417884827}",positive
mau gimana minn,3,,"{'label': 'negative', 'score': 0.9984702467918396}",negative
sindir wooooyy elah mimin,4,,"{'label': 'negative', 'score': 0.9998948574066162}",negative
ayo kerja kerasl besttiii semangat,5,,"{'label': 'positive', 'score': 0.9999454021453857}",positive
realate bikin ngakak wkwkw kamu admin bikin konten seru,9,,"{'label': 'positive', 'score': 0.9995762705802917}",positive
masuk hari gigit jari wkwk,5,,"{'label': 'negative', 'score': 0.9996856451034546}",negative
ajar banyak konten big thanks dana,6,,"{'label': 'neutral', 'score': 0.9997277855873108}",neutral
gimana biar lancar jaya isi dompet admin,7,,"{'label': 'positive', 'score': 0.5869749188423157}",positive
mimin ngerasain nyata semangat cari cuan admin,7,,"{'label': 'positive', 'score': 0.9999014139175415}",positive
dah paling enak tidur admin tidur biar hemat wkwk,9,,"{'label': 'positive', 'score': 0.9999433755874634}",positive
bijir mimin nyindir,3,,"{'label': 'negative', 'score': 0.9997736811637878}",negative
baru the best info,4,,"{'label': 'positive', 'score': 0.9999233484268188}",positive
langsung share temen kantor biar khawatir,6,,"{'label': 'negative', 'score': 0.9997414946556091}",negative
was was deh sekarang terima kasih admin info,8,,"{'label': 'positive', 'score': 0.9988313317298889}",positive
begini paling enak mantau promo dana hihihi,7,,"{'label': 'positive', 'score': 0.999954104423523}",positive
ngapain sinis admin kan dana banyak promo hihii,8,,"{'label': 'negative', 'score': 0.9998687505722046}",negative
extrak kerja keras admin,4,,"{'label': 'positive', 'score': 0.9994902610778809}",positive
top banget dah admin vocernya hemat maksimal,7,,"{'label': 'positive', 'score': 0.9999570846557617}",positive
sering admin kasih promo begini,5,,"{'label': 'neutral', 'score': 0.9998113512992859}",neutral
belanja seru voucer dana deals solusi,6,,"{'label': 'positive', 'score': 0.9868739247322083}",positive
jadi makin suka dana deh banyak promo,7,,"{'label': 'positive', 'score': 0.9999521970748901}",positive
berkat ewallet baik belanja jadi hemat nyaman,7,,"{'label': 'positive', 'score': 0.9999405145645142}",positive
kendala buat belanja deh kalau diskon gin mah,8,,"{'label': 'negative', 'score': 0.9984409213066101}",negative
diskon mantul gin dilewatin gais,5,,"{'label': 'positive', 'score': 0.9991961121559143}",positive
the best vocernya hemat belanja,5,,"{'label': 'positive', 'score': 0.9999535083770752}",positive
wow voucer dana deals mantul parah,6,,"{'label': 'negative', 'score': 0.9997963309288025}",negative
masuk vocernya waktu belanja hemat,5,,"{'label': 'positive', 'score': 0.999956488609314}",positive
