clean_text,word_count,label,sent_raw,label_auto
kamu ngentot ambil fee ribu besar sekali anjing,8,,"{'label': 'negative', 'score': 0.9999086856842041}",negative
cek minn,2,,"{'label': 'negative', 'score': 0.7920074462890625}",negative
cek woy,2,,"{'label': 'negative', 'score': 0.9998958110809326}",negative
layan gopay bagaimana proses transfer nyangkut hari contact direpon apk amp email,12,,"{'label': 'negative', 'score': 0.8229054808616638}",negative
pelayananya gimana kakak gopay contact tidak bisa respon kita,9,,"{'label': 'negative', 'score': 0.9998421669006348}",negative
liat noh berapa kali tidak ada saldo masuk gopayy riwayat akhir bulan februari balas beri respon apa kek banyak complain duit masuk ngasih solusi bikin lapor cuma dibales bot doang,30,,"{'label': 'negative', 'score': 0.9998860359191895}",negative
gopay masuk sihh kemarin nanya jawab template mulu,8,,"{'label': 'negative', 'score': 0.9998775720596313}",negative
kakk sumpah aku begini bahkan lapor gojek responnya punya kamu cuma template doang tidak bisa ngetikk keluh,17,,"{'label': 'negative', 'score': 0.999883770942688}",negative
lapor tutup malah kakak soal vanya hangus duluan padahal saldo potong,11,,"{'label': 'negative', 'score': 0.9998492002487183}",negative
kakak aku cepat sekali kok kemarin saldo buat lapor,9,,"{'label': 'negative', 'score': 0.9955447316169739}",negative
gimana dahhh suruh balas tidak ada pilih buat ngetik kamu suruh telepati top kemaren waktu maintance siang bolong hari jumat via bca tidak masuk saldo potong saldo gopay nambah warna merah potong tulis hasil,34,,"{'label': 'negative', 'score': 0.9974516034126282}",negative
tai minggu anjg begini mulu,5,,"{'label': 'negative', 'score': 0.9999102354049683}",negative
iya ngerti sekali sekarang sering error begini transfer status proses terus beberapa hari lelet banget tuhaannn,16,,"{'label': 'negative', 'score': 0.999919056892395}",negative
hallo kakak cdm,3,,"{'label': 'neutral', 'score': 0.9998828172683716}",neutral
masalah selesai selesai orang butuh uang masalah responnya hampir minggu cuma template doang,13,,"{'label': 'negative', 'score': 0.9998522996902466}",negative
kakk cdm yaa,3,,"{'label': 'neutral', 'score': 0.9988346695899963}",neutral
admin saldo cek,3,,"{'label': 'neutral', 'score': 0.9998194575309753}",neutral
blokir jelas emang gopaylater,4,,"{'label': 'negative', 'score': 0.9998806715011597}",negative
akhir hari isi full cashback poin,6,,"{'label': 'neutral', 'score': 0.9998738765716553}",neutral
cek admin,2,,"{'label': 'neutral', 'score': 0.9998553991317749}",neutral
aku sih blokir cuma payment pakai gopaylater,7,,"{'label': 'neutral', 'score': 0.99982750415802}",neutral
tweet serang buzzer gopay later jual lapak orang bayar woe,10,,"{'label': 'negative', 'score': 0.9992996454238892}",negative
curi saldo driver aplikasi order gocar hemat saldo driver potong kali parah sekali jangan suka curi hak driver,18,,"{'label': 'negative', 'score': 0.9999079704284668}",negative
mjb sekarang kakak punya aku soal,6,,"{'label': 'negative', 'score': 0.9803248047828674}",negative
halo mau upgrade gopay plus pernah busa bantu suket lurah kalaumemang beda nama ktp kakak,15,,"{'label': 'neutral', 'score': 0.9998829364776611}",neutral
admin cek,2,,"{'label': 'neutral', 'score': 0.999854564666748}",neutral
punya kakak,2,,"{'label': 'neutral', 'score': 0.9988204836845398}",neutral
tipu nimbrung kamu cari postingan,5,,"{'label': 'negative', 'score': 0.9998923540115356}",negative
begini deh minta update tiket beri update progressnya,8,,"{'label': 'neutral', 'score': 0.9998811483383179}",neutral
halo admin gopaylater pakai muncul opsi bayar pernah telat bayar tagih bantu tks,13,,"{'label': 'neutral', 'score': 0.9998748302459717}",neutral
admin gimana cara nurunin limit gopay later banyak minnn,9,,"{'label': 'negative', 'score': 0.9991508722305298}",negative
masuk yaa gopay tabung kok dijelasin awal gopay tabung apa masuk,11,,"{'label': 'negative', 'score': 0.9849714636802673}",negative
nasib emang gitu layan call chatpun ujung didiemin solusi,9,,"{'label': 'negative', 'score': 0.9998784065246582}",negative
kakak punya pilih payment pas aku cek apk gopay malah blokir,11,,"{'label': 'neutral', 'score': 0.9998370409011841}",neutral
banyak promo,2,,"{'label': 'positive', 'score': 0.9997431635856628}",positive
gopay later blokir,3,,"{'label': 'neutral', 'score': 0.9990911483764648}",neutral
cek admin,2,,"{'label': 'neutral', 'score': 0.9998553991317749}",neutral
admin cek kali,3,,"{'label': 'neutral', 'score': 0.999854326248169}",neutral
sedang trobel mau bayar paylater gagal terus soal,8,,"{'label': 'negative', 'score': 0.9998633861541748}",negative
admin transaksi akulaku bayar pakai gopaylatter hasil akulaku transaksi tunggu bayar,11,,"{'label': 'neutral', 'score': 0.9998911619186401}",neutral
halo nomor tipu kirain tiba minta kode otp anjg emang untung lindung maha kuasa,14,,"{'label': 'negative', 'score': 0.9996262788772583}",negative
cek admin,2,,"{'label': 'neutral', 'score': 0.9998553991317749}",neutral
admin cek,2,,"{'label': 'neutral', 'score': 0.999854564666748}",neutral
benerin sistemnyaa uang masuk terus duitnyaaa kemanaa tabung,8,,"{'label': 'negative', 'score': 0.9998862743377686}",negative
aku ngalamin biasa lancar lancar gimana nihh,7,,"{'label': 'positive', 'score': 0.9991718530654907}",positive
siaap kakak tunggu balas temen sabil yaa sabil,8,,"{'label': 'neutral', 'score': 0.9957361221313477}",neutral
transfer kali gopay nominal hasil guna terang gagal refund,9,,"{'label': 'neutral', 'score': 0.999731719493866}",neutral
emmy bantu biar pulsa segera terima kakak riza nomor capture hasil transaksi terima kasih emmy,15,,"{'label': 'neutral', 'score': 0.9998958110809326}",neutral
pulsa beli telkomsel masuk pakai gopay pembayaranya,7,,"{'label': 'neutral', 'score': 0.9998877048492432}",neutral
hai gopay cek tiket lapor sama kalian main closed case padahal saldo masuk,13,,"{'label': 'neutral', 'score': 0.9998400211334229}",neutral
lapor gimana,2,,"{'label': 'negative', 'score': 0.999832272529602}",negative
admin kok sekarang gojek aku tidak ada pilih payment pakai gopaylater padahal ringkes pakai,14,,"{'label': 'negative', 'score': 0.9999134540557861}",negative
halo sahabat mohon maaf atas ketidaknyamanannya pesan kirim lalu terima mohon sedia kirim tks kila,15,,"{'label': 'neutral', 'score': 0.9998929500579834}",neutral
cek admin,2,,"{'label': 'neutral', 'score': 0.9998553991317749}",neutral
cek minn,2,,"{'label': 'negative', 'score': 0.7920074462890625}",negative
