clean_text,word_count,label,sent_raw,label_auto
kak dyeskidayough mohon maaf atas ketidaknyamananannya kait kendala kakak alami kece mohon informasi detail kendala sosmed terimakasih,17,,"{'label': 'neutral', 'score': 0.9998924732208252}",neutral
halo laku bayar lalu shopeepay padahal dana cukup mohon jelas terima kasih,12,,"{'label': 'neutral', 'score': 0.9998825788497925}",neutral
kak lookinghendery mohon maaf atas ketidaknyamanannya kait kendala akun kakak blokir aku bantu cek aku saranin kakak meginformasikan detail kendala kakak username shopee kakak social media sehat selalu,28,,"{'label': 'neutral', 'score': 0.999497652053833}",neutral
halo shopee hormat akun blokir saldo shopeepay banyak ajuin lapor kata saldo balik kok enteng sekali lihat lihat ambil hak orang,21,,"{'label': 'negative', 'score': 0.9999045133590698}",negative
halo padahal akun uang beli suatu barang beli padahal saldo cukup,11,,"{'label': 'neutral', 'score': 0.9998477697372437}",neutral
hai kak mizeleafl makasih jadi langgan setia shopee aku saran kakak cek kala nanti promo promo tarik shopee kak kalau kendala tanya lain social media stay fit,27,,"{'label': 'neutral', 'score': 0.9998846054077148}",neutral
balikin bonus download apk shopeepay koin dulu dongg biar banyak download,11,,"{'label': 'negative', 'score': 0.5784561634063721}",negative
halo shopee hormat akun blokir saldo shopeepay banyak ajuin lapor kata saldo balik kok enteng sekali lihat lihat ambil hak orang,21,,"{'label': 'negative', 'score': 0.9999045133590698}",negative
sama weh stuck berapa lama bang,6,,"{'label': 'negative', 'score': 0.999818742275238}",negative
hai kak faceame maaf buat nyaman kait kendala pesan kamu alami aku bantu cek infoin username pesan kamu social media sehat selalu,22,,"{'label': 'neutral', 'score': 0.9994831085205078}",neutral
minnn kalau sengaja klik pesan selesai shopee gimana bakal tetep kirim jauh sekali soal kalau barang sesuai rusak,18,,"{'label': 'negative', 'score': 0.9998641014099121}",negative
admin kalau pas mau ngajuin spaylater muncul gin yaa,9,,"{'label': 'neutral', 'score': 0.9998736381530762}",neutral
admin hari topup tidak bisa mulu coba pakai metode bayar beda tetap gagal terus problem gimana deh,17,,"{'label': 'negative', 'score': 0.9998687505722046}",negative
admin cuma jabodetabek,3,,"{'label': 'neutral', 'score': 0.9992778897285461}",neutral
potong loh admin mohon cerah,5,,"{'label': 'positive', 'score': 0.9964015483856201}",positive
kak twelveoe maaf buat kamu nyaman kait kendala kamu aku bantu infoin detail kendala kamu screenshot halaman kendala lalu instagram stay safe,22,,"{'label': 'neutral', 'score': 0.9998772144317627}",neutral
mau tutup spaylater spinjam bagaimana kirim email respon,8,,"{'label': 'neutral', 'score': 0.9997168183326721}",neutral
mayan lama kak soal cek sama tim pusat pas aku mana mepet lebaran,13,,"{'label': 'negative', 'score': 0.9998792409896851}",negative
tiba nyedot shopeepay terang bayar shopeefood padahal habis sen apa pegang kapan hari mbak gin,15,,"{'label': 'neutral', 'score': 0.9175292253494263}",neutral
kak richarfiliana maaf buat khawatir kait pulsa terima shopee selalu beri layan baik semua guna aku bantu kece kakak infoin aku username bukti transaksi kak aku tunggu terima kasih,29,,"{'label': 'positive', 'score': 0.9981731176376343}",positive
kak uang balik bank butuh berapa hari soal punya balik dana masuk,12,,"{'label': 'neutral', 'score': 0.9998902082443237}",neutral
cuma tanya buka,3,,"{'label': 'neutral', 'score': 0.9998044371604919}",neutral
gblk bayar pakai gagal mulu pas depan kasir segala pakai autentikasi nunggu detik lama banget terus gagal benerin aplikasi luh buat pusing,22,,"{'label': 'negative', 'score': 0.9999195337295532}",negative
kenal mellsya,2,,"{'label': 'positive', 'score': 0.999790370464325}",positive
kak anggi geegee maaf buat kamu nyaman kait kembali dana kamu aku bantu infoin aku username nomor pesan kamu lalu resmi yaa stay safe,24,,"{'label': 'neutral', 'score': 0.9998456239700317}",neutral
balik bank uang rata hari asal rajin follow terus shopee shopepay semua aku jabanin hhhh,15,,"{'label': 'positive', 'score': 0.9507145285606384}",positive
flash sale pulsa jam berapa,5,,"{'label': 'neutral', 'score': 0.9997318387031555}",neutral
shopee motong komisi sih guyss nov bayar ribu doang main affiliate komen,12,,"{'label': 'negative', 'score': 0.999452531337738}",negative
kalau tau berapa hari kak uang kakak masuk shopeepay seta ngurus lapor,12,,"{'label': 'neutral', 'score': 0.9998842477798462}",neutral
ngurusnya kantor pusat kak cuma hubung shopeepay,7,,"{'label': 'neutral', 'score': 0.9998897314071655}",neutral
isi shopeepay mbanking transaksi hasil masuk saldo respon,8,,"{'label': 'neutral', 'score': 0.9998816251754761}",neutral
hasil bolak balik tanya terus kak pokok selalu aku follow terus biar dikerjain,13,,"{'label': 'neutral', 'score': 0.9997853636741638}",neutral
dana kena reject sistem jadi ngurus sana sini alam terus pihak syopinya biar satset urus soal ngasih info kadang potong aku kmaren bolak balik urus,25,,"{'label': 'negative', 'score': 0.9998754262924194}",negative
bantu viralin guys sumpah kasi sekali pihak driver oren potong barang banyak mending kamu tobat kata banyak driver speak pls jangan jahat baik sistem kamu,25,,"{'label': 'negative', 'score': 0.9999027252197266}",negative
lalu aplikasi shopee gitu shopefood gitu paket voucher gitu paket gitu buka paket batal jangan sungkan chat aku kalau kamu tanya kendala putar shopee,24,,"{'label': 'neutral', 'score': 0.9998722076416016}",neutral
kak sophiear jangan bingung kait saldo shopee potong kakak laku batal langgan voucher shopeefood,14,,"{'label': 'neutral', 'score': 0.7201890349388123}",neutral
shopeepayku tiba potong shopeefood padahal transaksi shopeefood aneh sekali,9,,"{'label': 'negative', 'score': 0.9999105930328369}",negative
mau tanya admin nomor official shopee bukan,7,,"{'label': 'neutral', 'score': 0.9998914003372192}",neutral
hai kak okkiyjellydrink mohon maaf atas ketidaknyamanannya kait kendala kakak alami aku bantu kakak infoin screenshot rincian bayar gagal lewat yaa kak sehat selalu,24,,"{'label': 'neutral', 'score': 0.9988061189651489}",neutral
sudaah masukk kamu kena masalah sama,6,,"{'label': 'negative', 'score': 0.9999121427536011}",negative
kak spill shopp maaf buat resah kait kendala kakak alami aku bantu cek yuk infoin kendala kamu lewat terimakasih,19,,"{'label': 'neutral', 'score': 0.9998736381530762}",neutral
woi stop sih kasih notif gin dikirain emang gagal bayar nyata notif aktifin spaylater gua mau ngutang stop buat notif ambigu begini,22,,"{'label': 'negative', 'score': 0.9999183416366577}",negative
mau follow isi saldo shopeepay via dana shopeepay tanggal april status dana hasil saldo masuk shopeepay kirim bukti jelas mohon bantu segera,22,,"{'label': 'neutral', 'score': 0.9998947381973267}",neutral
transfer dana shopeepay tgl april status dana saldo masuk shopeepay mohon ditindaklanjuti segera,13,,"{'label': 'neutral', 'score': 0.9998931884765625}",neutral
halo kak sekarang dana bagaimana aku punya masalah sama haru jelas bantu info,13,,"{'label': 'neutral', 'score': 0.7280572652816772}",neutral
aku saranin kakak cek kala status pesan waktu jam depan kak kalau kendala tanya kait shopee kakak happy great day,20,,"{'label': 'neutral', 'score': 0.9996101260185242}",neutral
hai kak serenadeofskies maaf atas ketidaknyamananya kait kendala kamu alami kendala sebut sedang tangan tim kait kak,17,,"{'label': 'neutral', 'score': 0.9998898506164551}",neutral
kak rainssme maaf kait kendala kamu alami aku bantu kece kendala kamu mohon hubung aku lalu yaa terima kasih,19,,"{'label': 'neutral', 'score': 0.9998866319656372}",neutral
kalau driver tidak ada ambil senggak balikin duit otomatis kan ken sen tempat laen,14,,"{'label': 'negative', 'score': 0.999884843826294}",negative
kak maaf mau tanya kamu uang masuk yaa,8,,"{'label': 'neutral', 'score': 0.9998902082443237}",neutral
balikin duit gua woii gua mau mamm allah,8,,"{'label': 'negative', 'score': 0.9998307228088379}",negative
punya barusan sekali balik alhamdulillah,5,,"{'label': 'positive', 'score': 0.9998624324798584}",positive
nang sekali nunggu kaya percuma nunggu kapan,7,,"{'label': 'negative', 'score': 0.9999037981033325}",negative
aku kak gimana biar saldo balik,6,,"{'label': 'neutral', 'score': 0.9986938834190369}",neutral
bjirrrr duit gua tahan shopeefood gara-gara order makan nyari driver ampe jam semuaaaaaa bjir refundddddddddd heh,16,,"{'label': 'negative', 'score': 0.9975395202636719}",negative
mjb kak nyata banyak kayak gin yaa t t punya dibatalin pihak,12,,"{'label': 'negative', 'score': 0.9998757839202881}",negative
pesan shopeefood sedang batal order mulu duit balikin nunggu jam kagak mulu sekali cancel status sedang batal enggak kalau balikin duit guee,22,,"{'label': 'negative', 'score': 0.9998891353607178}",negative
balikin duit bjirrrr lama drivernya pas cancel duit tahan jir,10,,"{'label': 'negative', 'score': 0.9998788833618164}",negative
driver shopee food sihh nunggu menitt dapet aku laparrrr kalau batalin saldo bakal balik cepet,15,,"{'label': 'negative', 'score': 0.9996316432952881}",negative
uang otomatis langsung balik admin order batal tidak ada driver pickup tadi,12,,"{'label': 'negative', 'score': 0.7874389290809631}",negative
halo kak maaf kebales masuk replynya notif kemarin kasus transfer jadi batal jam,13,,"{'label': 'neutral', 'score': 0.5485833287239075}",neutral
malam kak mohon maaf atas ketidaknyamanannya tindaklanjuti mohon sedia info kode mesan lalu ketik agent isi email amp tanya kak terima kasih sari,23,,"{'label': 'neutral', 'score': 0.9998985528945923}",neutral
males jalan cuma antri pakai promo aja beti sama harga dine,11,,"{'label': 'negative', 'score': 0.9999120235443115}",negative
tau utang besar lek onlen wegah bunga,7,,"{'label': 'negative', 'score': 0.9865900278091431}",negative
ora pinjam mek tuku bulan wing bayare bulan saiki tau pinjam babe masio dikei kredit semunu tau digawe,18,,"{'label': 'negative', 'score': 0.9990133047103882}",negative
potong masuk sekarang,3,,"{'label': 'negative', 'score': 0.9996228218078613}",negative
alhamdulillah utang later bulan kemaren lunas,6,,"{'label': 'positive', 'score': 0.982276976108551}",positive
batalin subscription google play hasil,5,,"{'label': 'neutral', 'score': 0.999890923500061}",neutral
aku bantu cek kait kendala infoin detail kendala kakak social media terimakasih kak,13,,"{'label': 'neutral', 'score': 0.9998844861984253}",neutral
kak vvhintaeges maaf buat nyaman kait kendala kakak alami selalu usaha beri layan baik guna shopee,16,,"{'label': 'positive', 'score': 0.9997240900993347}",positive
sekarang kalau bayar pakai shopeepay fitur sih jadi buat lama satset,11,,"{'label': 'neutral', 'score': 0.982084333896637}",neutral
tidak jelas cancel jauh jauhin deh begini rugi,8,,"{'label': 'negative', 'score': 0.9999172687530518}",negative
damnn shopiii pipipi,3,,"{'label': 'positive', 'score': 0.9999268054962158}",positive
makan tidak ada selesai sama sekali kalau chat cancel,9,,"{'label': 'negative', 'score': 0.9999027252197266}",negative
anjrit marah bnget gua mah idih kagak jelas delivnya anjir apa kayak,12,,"{'label': 'negative', 'score': 0.9999151229858398}",negative
punya nyata hilang barusan udahlah,5,,"{'label': 'negative', 'score': 0.99986732006073}",negative
wkwkwk hilang,2,,"{'label': 'negative', 'score': 0.9998846054077148}",negative
lama anjir beneran nyampe,4,,"{'label': 'negative', 'score': 0.999908447265625}",negative
satu komen ngaku shopee jangan ladenin skem soal,8,,"{'label': 'negative', 'score': 0.934360921382904}",negative
kemarin waktu beli kak ken punya habis beneran kirim memang kirim shopee lamban sekali paham kerja makin bagus,18,,"{'label': 'negative', 'score': 0.9600357413291931}",negative
bang gimane bang kirim sekarang tanggal april bom nyampe kali follow hasil sama sekali malah paket retur mohon kerja bener kalau mau kena cancel jamaah,25,,"{'label': 'negative', 'score': 0.9999037981033325}",negative
cek admin,2,,"{'label': 'neutral', 'score': 0.9998553991317749}",neutral
admin cek,2,,"{'label': 'neutral', 'score': 0.999854564666748}",neutral
tanggung jawab jangan nama doang care,6,,"{'label': 'negative', 'score': 0.9998737573623657}",negative
tanggung jawab admin punya hilanh pakai voc,7,,"{'label': 'negative', 'score': 0.9996738433837891}",negative
shopeepay error top jam masuk masuk,6,,"{'label': 'negative', 'score': 0.9997264742851257}",negative
cek,1,,"{'label': 'neutral', 'score': 0.9423424601554871}",neutral
kak maaf buat risau soal kendala login shopee selalu beri layan baik semua guna aku bantu kakak infoin aku detail kak aku tunggu terima kasih,25,,"{'label': 'neutral', 'score': 0.9756105542182922}",neutral
hai kak galmonin maaf yaa kait kendala kamu alami jangan khawatir yaa biar aku bantu lanjut infoin username detail kendala kamu aku lalu have nice day,26,,"{'label': 'neutral', 'score': 0.9834262132644653}",neutral
topup shopeepay lewat mbanking kok masuk saldo jam masuk tanya kata suruh nunggu terus gimana woy,16,,"{'label': 'negative', 'score': 0.999855637550354}",negative
admin aku habis kena tipu bayar shopeepay qris dana proses,10,,"{'label': 'negative', 'score': 0.9998878240585327}",negative
tadi aku nemu komen kata shopeepay plus cuma kali kak,10,,"{'label': 'neutral', 'score': 0.9998905658721924}",neutral
kasi admin kakak heheee,4,,"{'label': 'neutral', 'score': 0.9996781349182129}",neutral
syarat penuh klaim shopeepay thr apa yaa,7,,"{'label': 'neutral', 'score': 0.9998691082000732}",neutral
kak iinii budi maaf buat khawatir kait kendala kakak kece lanjut info detail kendala username kendala aku tunggu,18,,"{'label': 'neutral', 'score': 0.9998657703399658}",neutral
kalau kendala kamu hubung aku lalu sosial media shopee kak kirim kendala stay safe,14,,"{'label': 'neutral', 'score': 0.9998719692230225}",neutral
kak maaf kait kendala aplikasi kamu aku infoin pastiin jaring internet kamu stabil aplikasi shopee kamu versi baru kamu clear cache lalu logout login coba kala dlm jam,28,,"{'label': 'neutral', 'score': 0.9975700974464417}",neutral
shopeepay aku buka pas buka link thr siang,8,,"{'label': 'neutral', 'score': 0.9998762607574463}",neutral
shopeepayku error mulu plisss tidak bisa klik apa apaa tolongin,10,,"{'label': 'negative', 'score': 0.9999178647994995}",negative
admin gimana solusi paket batal sistem sama pihak gara barang telat antar alamat,13,,"{'label': 'negative', 'score': 0.9999163150787354}",negative
orang terima sisa orang terima total orang,7,,"{'label': 'neutral', 'score': 0.9995976090431213}",neutral
kak baenilbee maaf buat khawatir aku balas satu per satu yaa mohon sedia kamu tunggu aku balas segera,18,,"{'label': 'neutral', 'score': 0.999833345413208}",neutral
kak itsjustlany maaf buat kecewa shopee selalu beri layan baik semua guna aku bantu kendala kakak infoin aku username halaman spaylater kamu tunggu kak sehat selalu,26,,"{'label': 'positive', 'score': 0.9982459545135498}",positive
mohon cek ditindaklanjuti,3,,"{'label': 'neutral', 'score': 0.999876856803894}",neutral
kak ventchive maaf buat kecewa shopee selalu beri layan baik semua guna aku bantu kece kendala kakak infoin aku detail transaksi kendala tunggu kak stay healthy,26,,"{'label': 'positive', 'score': 0.9980850219726562}",positive
mohon cek,2,,"{'label': 'neutral', 'score': 0.9998551607131958}",neutral
halo laku top wallet dana shopeepay jam lalu sedang proses status mohon segera ditindaklanjuti,14,,"{'label': 'neutral', 'score': 0.9998999834060669}",neutral
apabila kendala kakak beri review lalu sehat selalu,8,,"{'label': 'neutral', 'score': 0.9826611876487732}",neutral
kak hendra balikin maaf kendala aku infoin kakak ikutin langkah ikut buat unlink vouchernya buka shopefood gitu klik paket voucher gitu pilih paket gitu buka paket batal,27,,"{'label': 'neutral', 'score': 0.9974420070648193}",neutral
kak trash maaf buat kecewa shopee selalu beri layan baik semua guna aku bantu kece kendala kakak infoin aku detail transaksi kendala tunggu kak stay healthy,26,,"{'label': 'negative', 'score': 0.55839604139328}",negative
admin mau tanya tiba potong shopee food padahal pesan apa,10,,"{'label': 'neutral', 'score': 0.9998816251754761}",neutral
mau klaim thr shopeepay pas mencet layar putih doang padahal jaring bagus kentank,13,,"{'label': 'negative', 'score': 0.9502171277999878}",negative
hai smktxs cikoet maaf buat kamu nyaman kait kirim pesan aku saranin kamu tunggu estimasi tiba lebih kece mohon informasi detail kendala via sosmed stay healthy,26,,"{'label': 'neutral', 'score': 0.9998588562011719}",neutral
mau apasih admin kemarin sekarang tidak bisa,7,,"{'label': 'negative', 'score': 0.9998900890350342}",negative
kak aku top mbca kali kok masuk yaa padahal mutasi potong bantu lumayan soal,14,,"{'label': 'negative', 'score': 0.9930652379989624}",negative
kata cuma klaim sekali,4,,"{'label': 'negative', 'score': 0.9997995495796204}",negative
samaaa,1,,"{'label': 'positive', 'score': 0.9998452663421631}",positive
samaa ihh,2,,"{'label': 'negative', 'score': 0.9995095729827881}",negative
cuma sekali klaim,3,,"{'label': 'neutral', 'score': 0.9889512658119202}",neutral
aku tidak bisa klaim shopeepay thr gratis penuh syarat,9,,"{'label': 'neutral', 'score': 0.999798595905304}",neutral
admin sopipay aku potong pesan bayar,6,,"{'label': 'negative', 'score': 0.9790953397750854}",negative
sekarang cuma klaim shopeepay thr sekali doang,7,,"{'label': 'neutral', 'score': 0.99982088804245}",neutral
sekarang shoopepay thr cuma klaim sekali doang dah gaseru,9,,"{'label': 'negative', 'score': 0.9998311996459961}",negative
telat sekali,2,,"{'label': 'negative', 'score': 0.9999204874038696}",negative
mau,1,,"{'label': 'positive', 'score': 0.9998701810836792}",positive
terima kasih atas info,4,,"{'label': 'neutral', 'score': 0.9922530055046082}",neutral
aku telat kayak wkwk,4,,"{'label': 'negative', 'score': 0.9998973608016968}",negative
aku mau ding kaa,4,,"{'label': 'positive', 'score': 0.8231887817382812}",positive
wow mauu dongg,3,,"{'label': 'negative', 'score': 0.9997678399085999}",negative
aku mau ini,3,,"{'label': 'positive', 'score': 0.9987820982933044}",positive
yah telat deh aku,4,,"{'label': 'negative', 'score': 0.9999182224273682}",negative
mohh,1,,"{'label': 'negative', 'score': 0.994817316532135}",negative
mau,1,,"{'label': 'positive', 'score': 0.9998701810836792}",positive
seru sekali sih,3,,"{'label': 'positive', 'score': 0.9999569654464722}",positive
yah tau tadi coba,4,,"{'label': 'neutral', 'score': 0.9965575933456421}",neutral
chat kak aku dlu refund,5,,"{'label': 'neutral', 'score': 0.9998934268951416}",neutral
allah kemarin ngewar tiket kai access udahlah timeout jadwal sedia sekarang malah saldo sedot payment gagal plss lahhh walo cuma batagor bungkus solusi deh admin,25,,"{'label': 'negative', 'score': 0.9995861649513245}",negative
yah sayang sekali baru liat,5,,"{'label': 'negative', 'score': 0.9756010174751282}",negative
terima kasih atas info,4,,"{'label': 'neutral', 'score': 0.9922530055046082}",neutral
telat deh,2,,"{'label': 'negative', 'score': 0.9999169111251831}",negative
otw jadi balap thr,4,,"{'label': 'neutral', 'score': 0.9998459815979004}",neutral
wihh coba,2,,"{'label': 'positive', 'score': 0.9998899698257446}",positive
aku mau donggg thr,4,,"{'label': 'positive', 'score': 0.9802181720733643}",positive
waaa seger sekali thrnyaa,4,,"{'label': 'positive', 'score': 0.9999552965164185}",positive
mau thr,2,,"{'label': 'negative', 'score': 0.9795241951942444}",negative
limit kali kaa aku mulung shopeepay tidak bisa lagi,9,,"{'label': 'negative', 'score': 0.9998996257781982}",negative
iyaaaa woi,2,,"{'label': 'negative', 'score': 0.9998941421508789}",negative
sama,1,,"{'label': 'positive', 'score': 0.9995618462562561}",positive
wah sih kak,3,,"{'label': 'negative', 'score': 0.9988458156585693}",negative
wahh mau,2,,"{'label': 'positive', 'score': 0.9998562335968018}",positive
tidak bisa kak akuu,4,,"{'label': 'negative', 'score': 0.9999033212661743}",negative
yah aku shopeepay,3,,"{'label': 'neutral', 'score': 0.9998377561569214}",neutral
aku mau bangttt,3,,"{'label': 'positive', 'score': 0.9999045133590698}",positive
wahh mau kak hehehe,4,,"{'label': 'positive', 'score': 0.9904088973999023}",positive
wihh kerenn sihh,3,,"{'label': 'positive', 'score': 0.9999473094940186}",positive
yah,1,,"{'label': 'positive', 'score': 0.9927607774734497}",positive
aku mau admin,3,,"{'label': 'neutral', 'score': 0.9991808533668518}",neutral
aku mau sekali sihh,4,,"{'label': 'positive', 'score': 0.9997289776802063}",positive
wah mau,2,,"{'label': 'positive', 'score': 0.9997445940971375}",positive
iya benr bangett sih yaaa,5,,"{'label': 'negative', 'score': 0.9997746348381042}",negative
wah mau aku kakkk,4,,"{'label': 'positive', 'score': 0.9994910955429077}",positive
bagi sih,2,,"{'label': 'positive', 'score': 0.9619282484054565}",positive
aku telat,2,,"{'label': 'negative', 'score': 0.9999154806137085}",negative
iya bener sekali sih,4,,"{'label': 'positive', 'score': 0.9996066689491272}",positive
nah seru sekali sih,4,,"{'label': 'positive', 'score': 0.9999555349349976}",positive
wah lumayan banget nihh,4,,"{'label': 'positive', 'score': 0.999900221824646}",positive
aku mau thr,3,,"{'label': 'neutral', 'score': 0.9995928406715393}",neutral
wahh telatt banget aku,4,,"{'label': 'negative', 'score': 0.9999189376831055}",negative
duhh aku telat,3,,"{'label': 'negative', 'score': 0.9999154806137085}",negative
keduluan nii admin,3,,"{'label': 'negative', 'score': 0.9997523427009583}",negative
wah mau,2,,"{'label': 'positive', 'score': 0.9997445940971375}",positive
bentar kak,2,,"{'label': 'neutral', 'score': 0.8599294424057007}",neutral
aku sih kak,3,,"{'label': 'positive', 'score': 0.9997676014900208}",positive
wah,1,,"{'label': 'positive', 'score': 0.9997101426124573}",positive
woahhh mau coba,3,,"{'label': 'negative', 'score': 0.8536972999572754}",negative
