clean_text,word_count,label,sent_raw,label_auto
coba tanya csnya aja kak,5,,"{'label': 'neutral', 'score': 0.9998924732208252}",neutral
aman aja min banyak promo dana,6,,"{'label': 'negative', 'score': 0.9914831519126892}",negative
selow aja min jgn dipikirin biar gua aja mikir,9,,"{'label': 'negative', 'score': 0.9998471736907959}",negative
tetep kalem dompet tip penting jgn sinis,7,,"{'label': 'neutral', 'score': 0.7677060961723328}",neutral
dana jadi andal gua buat hemat,6,,"{'label': 'positive', 'score': 0.9999556541442871}",positive
udah ngadu merchant nya langsung moga aja bulan depan beneran balik tuh duitt sumpah mood banget gegara dana aman skrg,20,,"{'label': 'negative', 'score': 0.9998906850814819}",negative
hari bikin emosi dana gua tarik kali kek gin moga aja dana balik,13,,"{'label': 'negative', 'score': 0.9998805522918701}",negative
badai lalu gesss yok semangat,5,,"{'label': 'positive', 'score': 0.7640716433525085}",positive
gimana lgi minn,3,,"{'label': 'negative', 'score': 0.9996588230133057}",negative
sindir wooooyy elah mimin,4,,"{'label': 'negative', 'score': 0.9998948574066162}",negative
yok kerja kerasl lgi besttiii semangat,6,,"{'label': 'positive', 'score': 0.9998894929885864}",positive
realate bkin ngakak wkwkw min bkin konten seru,8,,"{'label': 'negative', 'score': 0.893766462802887}",negative
udah masuk hari gigit jari wkwk,6,,"{'label': 'negative', 'score': 0.9998359680175781}",negative
ajar banyak konten big thanks dana,6,,"{'label': 'neutral', 'score': 0.9997277855873108}",neutral
gimana dong biar lancar jaya nih isi dompet min,9,,"{'label': 'positive', 'score': 0.8181594014167786}",positive
mimin ngerasain nyata semangat cari cuan lgi min,8,,"{'label': 'positive', 'score': 0.999813973903656}",positive
dah paling enak tidur aja min tidur biar hemat wkwk,10,,"{'label': 'positive', 'score': 0.9998248219490051}",positive
bijir mimin nyindir gua nih,5,,"{'label': 'neutral', 'score': 0.9858486652374268}",neutral
baru the best info,4,,"{'label': 'positive', 'score': 0.9999233484268188}",positive
lgsg share temen kantor biar gak khawatir,7,,"{'label': 'neutral', 'score': 0.9997277855873108}",neutral
gak was was deh skrg makasih min info,8,,"{'label': 'negative', 'score': 0.8506278991699219}",negative
begini paling enak mantau promo dana hihihi,7,,"{'label': 'positive', 'score': 0.999954104423523}",positive
ngapain sinis min kan dana banyak promo hihii,8,,"{'label': 'negative', 'score': 0.999847412109375}",negative
extrak kerja keras min,4,,"{'label': 'positive', 'score': 0.9995328187942505}",positive
top banget dah min vocernya hemat maksimal,7,,"{'label': 'positive', 'score': 0.999956488609314}",positive
sering min kasih promo begini,5,,"{'label': 'neutral', 'score': 0.9998552799224854}",neutral
belanja seru vocer dana deals solusi,6,,"{'label': 'positive', 'score': 0.9994949102401733}",positive
makin suka dana deh bnyk promo nya,7,,"{'label': 'positive', 'score': 0.999943733215332}",positive
berkat ewallet baik belanja hemat nyaman,6,,"{'label': 'positive', 'score': 0.9998843669891357}",positive
kendala buat belanja deh klo diskon gni mah,8,,"{'label': 'negative', 'score': 0.9989057779312134}",negative
diskon mantul gin dilewatin gais,5,,"{'label': 'positive', 'score': 0.9991961121559143}",positive
the best vocernya hemat belanja,5,,"{'label': 'positive', 'score': 0.9999535083770752}",positive
wow vocer dana deals mantul parah,6,,"{'label': 'negative', 'score': 0.9998658895492554}",negative
udah masuk vocernya waktu belanja hemat,6,,"{'label': 'positive', 'score': 0.9999539852142334}",positive
widih big thanks loh min pas bgt blnja dpet vocer,10,,"{'label': 'positive', 'score': 0.9997279047966003}",positive
terima kasih dana vocer promony,5,,"{'label': 'positive', 'score': 0.9999260902404785}",positive
mang semantul min vocernya,4,,"{'label': 'positive', 'score': 0.9995123147964478}",positive
pke dana semua aman aman aja,6,,"{'label': 'positive', 'score': 0.9997754693031311}",positive
alhamdulillah vocer hemat,3,,"{'label': 'positive', 'score': 0.9999537467956543}",positive
makasih min vocernya mantul,4,,"{'label': 'positive', 'score': 0.9998998641967773}",positive
dana emg gak main promonya,5,,"{'label': 'negative', 'score': 0.9998112320899963}",negative
etdah diskon bkin semangat belanja,5,,"{'label': 'positive', 'score': 0.9998242259025574}",positive
mantap pis promonya,3,,"{'label': 'positive', 'score': 0.9999567270278931}",positive
gokil hemat parah sih promonya,5,,"{'label': 'positive', 'score': 0.9999347925186157}",positive
promo baik min,3,,"{'label': 'positive', 'score': 0.9990279674530029}",positive
aman min gua udah ngumpulin uang,6,,"{'label': 'neutral', 'score': 0.6846768260002136}",neutral
saat bijak ngatur uang nih mantap min konten,8,,"{'label': 'positive', 'score': 0.9997442364692688}",positive
tenang promo dana wkwk,4,,"{'label': 'positive', 'score': 0.9999353885650635}",positive
jangan buka kartu min,4,,"{'label': 'negative', 'score': 0.9798761606216431}",negative
keluar bulan kemaren bener luar biasa min amsyong,8,,"{'label': 'positive', 'score': 0.9999117851257324}",positive
fixs mimin kek dukun dah,5,,"{'label': 'negative', 'score': 0.9999107122421265}",negative
