clean_text,word_count,label,sent_raw,label_auto
ngentot ngambil fee ribu gede banget anjing,7,,"{'label': 'negative', 'score': 0.9999023675918579}",negative
cek minn,2,,"{'label': 'negative', 'score': 0.7920074462890625}",negative
cek woy,2,,"{'label': 'negative', 'score': 0.9998958110809326}",negative
layan gopay gmna proses nyangkut hari contact direpon apk amp email,11,,"{'label': 'negative', 'score': 0.9377515912055969}",negative
pelayananya gimana bang gopay contact aja gabisa respon kita,9,,"{'label': 'negative', 'score': 0.9997946619987488}",negative
liat noh brp kali gaada saldo masuk gopayy gueeeee riwayat akhir bulan februari bales kasih respon apa kek banyak complain duit masuk ngasih solusi bikin lapor cmn dibales bot doang,30,,"{'label': 'negative', 'score': 0.9998761415481567}",negative
gopay knp blm masuk sihh kmrnn nanya jawab template mulu,10,,"{'label': 'negative', 'score': 0.9998542070388794}",negative
kakk sumpah gin bahkan lapor gojek responnya kyk punya kamu cmn template doang gabisa ngetikk keluh,16,,"{'label': 'negative', 'score': 0.9998843669891357}",negative
lapor udah tutup malah kak soal vanya udah hangus duluan padahal saldo potong,13,,"{'label': 'negative', 'score': 0.9998753070831299}",negative
kak aku cepet banget kok kemrin saldo balik buat lapor,10,,"{'label': 'positive', 'score': 0.9968830943107605}",positive
gimana dahhh suruh bales gaada pilih buat ngetik suruh gua telepati top kemaren waktu maintance siang bolong hari jumat via bca gamasuk saldo potong saldo gopay nambah warna merah potong tulis hasil,32,,"{'label': 'negative', 'score': 0.9997208714485168}",negative
tai udah minggu anjg gin mulu,6,,"{'label': 'negative', 'score': 0.9999121427536011}",negative
iya gak ngerti banget skrg sering error gin transfer status proses terus sampe bbrp hari lelet bgt tuhaannn,18,,"{'label': 'negative', 'score': 0.9999195337295532}",negative
hallo cdm,2,,"{'label': 'neutral', 'score': 0.9998255372047424}",neutral
lah masalah selesai selesai orang butuh uang masalah responnya hampir minggu cuma template doang,14,,"{'label': 'negative', 'score': 0.9998656511306763}",negative
kakk cdm yaa,3,,"{'label': 'neutral', 'score': 0.9988346695899963}",neutral
min saldo balik cek dong,5,,"{'label': 'negative', 'score': 0.5219020247459412}",negative
blokir jelas emg gopaylater,4,,"{'label': 'negative', 'score': 0.9998759031295776}",negative
akhir hari isi full aja cashback poin nya,8,,"{'label': 'neutral', 'score': 0.9998877048492432}",neutral
cek min,2,,"{'label': 'neutral', 'score': 0.999625563621521}",neutral
blm nih aku sih blokir payment pake gopaylater aja,9,,"{'label': 'neutral', 'score': 0.9998779296875}",neutral
tweet serang buzzer gopay later jual lapak orang bayar woe,10,,"{'label': 'negative', 'score': 0.9992996454238892}",negative
curi saldo driver aplikasi order gocar hemat saldo driver potong parah banget jangan suka curi hak driver,17,,"{'label': 'negative', 'score': 0.9999072551727295}",negative
mjb sekarang udah blm punya aku soal,7,,"{'label': 'negative', 'score': 0.9983460903167725}",negative
halo mau upgrade gopay plus pernah busa bantu suket dri lurah kalaumemang beda nama ktp,15,,"{'label': 'neutral', 'score': 0.9998841285705566}",neutral
min cek,2,,"{'label': 'neutral', 'score': 0.9998304843902588}",neutral
punya dah blm kak,4,,"{'label': 'neutral', 'score': 0.9998310804367065}",neutral
