clean_text,word_count,label,sent_raw,label_auto
kak dyeskidayough mohon maaf atas ketidaknyamananannya kait kendala kakak alami kece mohon informasi detail kendala sosmed terimakasih,17,,"{'label': 'neutral', 'score': 0.9998924732208252}",neutral
halo laku bayar lalu shopeepay padahal dana cukup mohon jelas terima kasih,12,,"{'label': 'neutral', 'score': 0.9998825788497925}",neutral
kak lookinghendery mohon maaf atas ketidaknyamanannya kait kendala akun kakak blokir aku bantu cek aku saranin kakak meginformasikan detail kendala kakak username shopee kakak social media sehat selalu,28,,"{'label': 'neutral', 'score': 0.999497652053833}",neutral
halo shopee hormat akun blokir saldo shopeepay nya banyak udah ajuin lapor kata saldo nya balik kok enteng banget lihat lihat ambil hak orang,24,,"{'label': 'negative', 'score': 0.9999051094055176}",negative
halo padahal akun uang beli suatu barang beli padahal saldo nya cukup,12,,"{'label': 'neutral', 'score': 0.9998563528060913}",neutral
hai kak mizeleafl makasih udah jadi langgan setia shopee aku saran kakak cek kala nanti promo promo tarik shopee kak kalo kendala tanya lain social media stay fit,28,,"{'label': 'neutral', 'score': 0.9998856782913208}",neutral
balikin bonus download apk shopeepay koin kaya dulu dongg biar banyak download,12,,"{'label': 'negative', 'score': 0.9778112173080444}",negative
halo shopee hormat akun blokir saldo shopeepay nya banyak udah ajuin lapor kata saldo nya balik kok enteng banget lihat lihat ambil hak orang,24,,"{'label': 'negative', 'score': 0.9999051094055176}",negative
sama weh stuck berapa lama bang,6,,"{'label': 'negative', 'score': 0.999818742275238}",negative
hai kak faceame maaf bikin nyaman kait kendala pesan kamu alami aku bantu cek infoin username pesan kamu social media sehat selalu,22,,"{'label': 'neutral', 'score': 0.996539831161499}",neutral
minnn kalau gak sengaja klik pesan selesai shopee gimana bakal tetep kirim gak jauh banget soal kalau barang gak sesuai rusak gak,22,,"{'label': 'negative', 'score': 0.9998382329940796}",negative
min pas mau ngajuin spaylater muncul kyk gin knp yaa,10,,"{'label': 'neutral', 'score': 0.9835337996482849}",neutral
min hari topup gabisa mulu udh coba pake metode bayar beda ttp aja gagal terus problem gimana deh,18,,"{'label': 'negative', 'score': 0.9999021291732788}",negative
min cuma jabodetabek,3,,"{'label': 'neutral', 'score': 0.9987866282463074}",neutral
udah potong loh min mohon cerah,6,,"{'label': 'neutral', 'score': 0.9922507405281067}",neutral
kak twelveoe maaf buat kmu gak nyaman kait kendala kamu aku bantu infoin detail kendala kamu screenshot halaman kendala lalu instagram stay safe,23,,"{'label': 'neutral', 'score': 0.999834418296814}",neutral
mau tutup spaylater spinjam bagaimana kirim email respon,8,,"{'label': 'neutral', 'score': 0.9997168183326721}",neutral
mayan lama kak soal cek tim pusat pas aku mana mepet lebaran,12,,"{'label': 'negative', 'score': 0.9998700618743896}",negative
tiba nyedot shopeepay terang bayar shopeefood padahal habis sen apa pegang kapan hari mbak gin dong,16,,"{'label': 'negative', 'score': 0.9987331032752991}",negative
kak richarfiliana maaf udah buat khawatir kait pulsa blm terima shopee selalu beri layan baik semua guna aku bantu kece kakak infoin aku username bukti transaksi kak aku tunggu terima kasih,31,,"{'label': 'positive', 'score': 0.9995403289794922}",positive
kak uang nya balik bank butuh brp hari soal punya balik dana blm masuk,14,,"{'label': 'neutral', 'score': 0.9998505115509033}",neutral
cuma tanya buka,3,,"{'label': 'neutral', 'score': 0.9998044371604919}",neutral
gblk nih bayar pake gagal mulu pas depan kasir udh segala pake autentikasi nunggu detik lama bgt trus gagal benerin aplikasi luh bikin pusing,24,,"{'label': 'negative', 'score': 0.999920129776001}",negative
kenal mellsya,2,,"{'label': 'positive', 'score': 0.999790370464325}",positive
kak anggi geegee maaf buat kmu nyaman kait kembali dana kamu aku bantu infoin aku username nomor pesan kamu lalu resmi yaa stay safe,24,,"{'label': 'neutral', 'score': 0.9998512268066406}",neutral
balik bank uang rata hari asal rajin follow terus shopee shopepay semua aku jabanin hhhh,15,,"{'label': 'positive', 'score': 0.9507145285606384}",positive
flash sale pulsa jam berapa,5,,"{'label': 'neutral', 'score': 0.9997318387031555}",neutral
shopee motong komisi sih guyss nov bayar ribu doang main affiliate komen,12,,"{'label': 'negative', 'score': 0.999452531337738}",negative
kalau tau brp hari kak uang kakak masuk shopeepay seta ngurus lapor,12,,"{'label': 'neutral', 'score': 0.9998893737792969}",neutral
ngurusnya kantor pusat kak cuma hubung shopeepay,7,,"{'label': 'neutral', 'score': 0.9998897314071655}",neutral
isi shopeepay mbanking transaksi udah hasil masuk saldo respon,9,,"{'label': 'neutral', 'score': 0.9998251795768738}",neutral
hasil bolak balik nanya terus kak pokok selalu aku follow terus biar dikerjain,13,,"{'label': 'neutral', 'score': 0.9995412826538086}",neutral
dana kena reject sistem jadi ngurus sana sini alam terus pihak syopinya biar satset urus soal ngasih info kadang potong aku kmaren bolak balik urus,25,,"{'label': 'negative', 'score': 0.9998754262924194}",negative
bantu viralin guys sumpah kasi banget pihak driver oren potong smpe barang banyak mending tobat kata gue banyak driver udah speak pls jangan jahat baik sistem,26,,"{'label': 'negative', 'score': 0.99989914894104}",negative
lalu aplikasi shopee shopefood paket voucher paket buka paket batal jangan sungkan chat aku kalo kamu tanya kendala putar shopee,20,,"{'label': 'neutral', 'score': 0.9998179078102112}",neutral
kak sophiear jangan bingung kait saldo shopee potong kakak laku batal langgan voucher shopeefood,14,,"{'label': 'neutral', 'score': 0.7201890349388123}",neutral
shopeepayku tbtb potong shopeefood padahal enggak transaksi shopeefood aneh banget,10,,"{'label': 'negative', 'score': 0.9999146461486816}",negative
mau tanya dong admin nomor official shopee bukan,8,,"{'label': 'neutral', 'score': 0.9998843669891357}",neutral
hai kak okkiyjellydrink mohon maaf atas ketidaknyamanannya kait kendala kakak alami aku bantu kakak infoin screenshot rincian bayar gagal lewat yaa kak sehat selalu,24,,"{'label': 'neutral', 'score': 0.9988061189651489}",neutral
sudaah masukk kamu kena masalah sama,6,,"{'label': 'negative', 'score': 0.9999121427536011}",negative
kak spill shopp maaf udh buat resah kait kendala kakak alami aku bantu cek yuk infoin kendala kamu lewat terimakasih,20,,"{'label': 'neutral', 'score': 0.9998586177825928}",neutral
woi stop sih kasih notif kaya gin dikirain emang gue gagal bayar nyata notif aktifin spaylater gua kaga mau ngutang stop lah buat notif ambigu begini,26,,"{'label': 'negative', 'score': 0.9999141693115234}",negative
mau follow isi saldo shopeepay via dana shopeepay tanggal april status dana hasil saldo masuk shopeepay kirim bukti jelas mohon bantu segera,22,,"{'label': 'neutral', 'score': 0.9998947381973267}",neutral
transfer dana shopeepay tgl april status dana saldo masuk shopeepay mohon ditindaklanjuti segera,13,,"{'label': 'neutral', 'score': 0.9998931884765625}",neutral
halo kak skrng dana gimn aku punya masalah sama nih udah haru blm jelas bantu info,16,,"{'label': 'negative', 'score': 0.992324948310852}",negative
aku saranin kaka cek kala status pesan waktu jam depan kak kalau kendala tanya kait shopee kakak happy great day,20,,"{'label': 'neutral', 'score': 0.9997304081916809}",neutral
hai kak serenadeofskies maaf atas ketidaknyamananya kait kendala kamu alami kendala sebut sedang tangan tim kait kak,17,,"{'label': 'neutral', 'score': 0.9998898506164551}",neutral
kak rainssme maaf kait kendala kamu alami dpt aku bantu kece kendala kamu mohon hubung aku lalu yaa terima kasih,20,,"{'label': 'neutral', 'score': 0.9998944997787476}",neutral
kalo driver gada ambil senggak balikin duit otomatis lah kan ken sen tempat laen,14,,"{'label': 'negative', 'score': 0.9999018907546997}",negative
kak maaf mau tanya uang udh masuk blm yaa,9,,"{'label': 'neutral', 'score': 0.9998804330825806}",neutral
balikin duit gua woii gua mau mamm allah,8,,"{'label': 'negative', 'score': 0.9998307228088379}",negative
punya barusan banget balik alhamdulillah,5,,"{'label': 'positive', 'score': 0.9999184608459473}",positive
nang banget nunggu kaya percuma nunggu sampe kapan,8,,"{'label': 'negative', 'score': 0.9999103546142578}",negative
aku kak gimana biar saldo balik,6,,"{'label': 'neutral', 'score': 0.9986938834190369}",neutral
bjirrrr duit gua tahan shopeefood grgr order makan nyari driver ampe jam semuaaaaaa bjir refundddddddddd heh,16,,"{'label': 'negative', 'score': 0.956914484500885}",negative
mjb kak nyata banyak kayak gin yaa t t punya dibatalin pihak,12,,"{'label': 'negative', 'score': 0.9998757839202881}",negative
pesan shopeefood sedang batal order mulu duit gue balikin dong udah nunggu jam kagak mulu sekali cancel status sedang batal enggak kalau gak balikin duit guee,26,,"{'label': 'negative', 'score': 0.999897837638855}",negative
balikin duit gue bjirrrr udh lama dapet drivernya pas cancel duit tahan jir,13,,"{'label': 'negative', 'score': 0.9997889399528503}",negative
driver shopee food sihh udh nunggu menitt kaga dapet aku laparrrr kalau batalin saldo bakal balik cepet kaga,18,,"{'label': 'negative', 'score': 0.999784529209137}",negative
uang otomatis langsung balik min order batal gaada driver pickup tadi,11,,"{'label': 'neutral', 'score': 0.9980912804603577}",neutral
halo kak maaf kebales masuk replynya notif kemarin kasus transfer jadi batal jam,13,,"{'label': 'neutral', 'score': 0.5485833287239075}",neutral
malam kak mohon maaf atas ketidaknyamanannya tindaklanjuti mohon sedia info kode mesan lalu dgn ketik agent isi email amp tanya kak terima kasih sari,24,,"{'label': 'neutral', 'score': 0.9998975992202759}",neutral
males jalan cuma antri pake promo aja beti harga dine,10,,"{'label': 'negative', 'score': 0.9999116659164429}",negative
tau utang gede lek onlen wegah bunga,7,,"{'label': 'negative', 'score': 0.9341939091682434}",negative
ora pinjam mek tuku bulan wing bayare bulan saiki tau pinjam babe masio dikei kredit semunu tau digawe,18,,"{'label': 'negative', 'score': 0.9990133047103882}",negative
potong gak masuk sekarang,4,,"{'label': 'negative', 'score': 0.9998624324798584}",negative
alhamdulillah utang later bulan kemaren lunas,6,,"{'label': 'positive', 'score': 0.982276976108551}",positive
batalin subscription google play hasil,5,,"{'label': 'neutral', 'score': 0.999890923500061}",neutral
aku bantu cek kait kendala infoin detail kendala kakak social media terimakasih kak,13,,"{'label': 'neutral', 'score': 0.9998844861984253}",neutral
kak vvhintaeges maaf bikin nyaman kait kendala kakak alami selalu usaha beri layan baik guna shopee,16,,"{'label': 'positive', 'score': 0.9998695850372314}",positive
knp sekarang kalo bayar pakai shopeepay fitur sih jadi bikin lama satset,12,,"{'label': 'negative', 'score': 0.9998145699501038}",negative
gajelas udah cancel aja jauh jauhin deh dapet begini rugi,10,,"{'label': 'negative', 'score': 0.9999178647994995}",negative
damnn shopiii pipipi,3,,"{'label': 'positive', 'score': 0.9999268054962158}",positive
makan gaada selesai sama sekali kalau chat cancel aja lah,10,,"{'label': 'negative', 'score': 0.9998878240585327}",negative
anjrit marah bnget gua mah idih kagak jelas delivnya anjir apa kek gitu,13,,"{'label': 'negative', 'score': 0.9999152421951294}",negative
punya nyata hilang barusan udahlah,5,,"{'label': 'negative', 'score': 0.99986732006073}",negative
wkwkwk hilang,2,,"{'label': 'negative', 'score': 0.9998846054077148}",negative
lah lama anjir beneran nyampe gak,6,,"{'label': 'negative', 'score': 0.9999043941497803}",negative
satu komen ngaku shopee jangan ladenin skem soal,8,,"{'label': 'negative', 'score': 0.934360921382904}",negative
kemarin waktu beli gitu kak ken punya abis beneran kirim memang kirim shopee lamban banget gak paham kerja makin gak bagus,21,,"{'label': 'negative', 'score': 0.9999223947525024}",negative
bang gimane bang ngirim sekarang udah tanggal april bom nyampe kali follow hasil sama sekali malah paket retur mohon kerja bener kalo mau kena cancel jamaah,26,,"{'label': 'negative', 'score': 0.9999068975448608}",negative
cek min,2,,"{'label': 'neutral', 'score': 0.999625563621521}",neutral
min cek,2,,"{'label': 'neutral', 'score': 0.9998304843902588}",neutral
tanggung jawab jangan nama doang care,6,,"{'label': 'negative', 'score': 0.9998737573623657}",negative
tanggung jawab gak min punya gue hilanh pakai voc,9,,"{'label': 'negative', 'score': 0.9998262524604797}",negative
shopeepay error top jam gak masuk masuk,7,,"{'label': 'negative', 'score': 0.9998449087142944}",negative
cek,1,,"{'label': 'neutral', 'score': 0.9423424601554871}",neutral
kak maaf udah buat risau soal kendala login shopee selalu beri layan baik semua guna aku bantu kakak infoin aku detail kak aku tunggu terima kasih,26,,"{'label': 'positive', 'score': 0.5581453442573547}",positive
hai kak galmonin maaf yaa kait kendala kamu alami jangan khawatir yaa biar aku bantu lanjut infoin username detail kendala aku lalu have nice day,25,,"{'label': 'neutral', 'score': 0.9977976083755493}",neutral
topup shopeepay lwat mbanking kok nda masuk saldo jam nda masuk tanya kata suruh nunggu terus gimana dong woy,19,,"{'label': 'negative', 'score': 0.9998869895935059}",negative
min aku abis kena tipu bayar shopeepay qris dana proses,10,,"{'label': 'negative', 'score': 0.9997023940086365}",negative
aku nemu komen ktnya spay plus cuma kali kak,9,,"{'label': 'neutral', 'score': 0.9998842477798462}",neutral
kasi min kakak nya heheee,5,,"{'label': 'neutral', 'score': 0.9996123909950256}",neutral
syarat penuh klaim shopeepay thr apa yaa,7,,"{'label': 'neutral', 'score': 0.9998691082000732}",neutral
kak iinii budi maaf udah buat khawatir kait kendala kakak kece lanjut info detail kendala username kendala aku tunggu,19,,"{'label': 'neutral', 'score': 0.9998486042022705}",neutral
kalo kendala kamu hubung aku lalu sosial media shopee kak kirim kendala nya stay safe,15,,"{'label': 'neutral', 'score': 0.9998656511306763}",neutral
kak maaf kait kendala aplikasi kamu aku infoin pastiin jaring internet kamu stabil aplikasi shopee kamu versi baru kamu clear cache lalu logout login coba kala dlm jam,28,,"{'label': 'neutral', 'score': 0.9975700974464417}",neutral
spay aku buka pas buka link thr siang,8,,"{'label': 'neutral', 'score': 0.9998786449432373}",neutral
shopeepayku error mulu plisss gabisa klik apa apaa tolongin dong,10,,"{'label': 'negative', 'score': 0.9999152421951294}",negative
min gimana solusi nya paket sya batal sistem sama pihak gara barang nya telat antar alamat,16,,"{'label': 'negative', 'score': 0.9999158382415771}",negative
orang terima sisa orang terima total orang,7,,"{'label': 'neutral', 'score': 0.9995976090431213}",neutral
kak baenilbee maaf buat khawatir aku balas satu per satu yaa mohon sedia utk tunggu aku balas segera,18,,"{'label': 'neutral', 'score': 0.9998476505279541}",neutral
kak itsjustlany maaf udah buat kecewa shopee selalu beri layan baik semua guna aku bantu kendala kakak infoin aku username halaman spaylater kamu tunggu kak sehat selalu,27,,"{'label': 'positive', 'score': 0.9981416463851929}",positive
mohon cek ditindaklanjuti,3,,"{'label': 'neutral', 'score': 0.999876856803894}",neutral
kak ventchive maaf udah buat kecewa shopee selalu beri layan baik semua guna aku bantu kece kendala kakak infoin aku detail transaksi kendala tunggu kak stay healthy,27,,"{'label': 'positive', 'score': 0.9968677163124084}",positive
mohon cek,2,,"{'label': 'neutral', 'score': 0.9998551607131958}",neutral
halo laku top wallet dana shopeepay jam lalu sedang proses status mohon segera ditindaklanjuti,14,,"{'label': 'neutral', 'score': 0.9998999834060669}",neutral
apabila kendala kakak mmberikn review lalu sehat selalu,8,,"{'label': 'neutral', 'score': 0.9997223019599915}",neutral
kak hendra balikin maaf kendala aku infoin kakak ikutin langkah ikut buat unlink vouchernya buka shopefood klik paket voucher pilih paket buka paket batal,24,,"{'label': 'neutral', 'score': 0.9993587136268616}",neutral
kak trash maaf udah buat kecewa shopee selalu beri layan baik semua guna aku bantu kece kendala kakak infoin aku detail transaksi kendala tunggu kak stay healthy,27,,"{'label': 'positive', 'score': 0.991811990737915}",positive
min mau tanya tiba potong shopee food padahal pesan apa,10,,"{'label': 'neutral', 'score': 0.9998841285705566}",neutral
mau klaim thr spay pas mencet layar putih doang padahal jaring bagus kentank,13,,"{'label': 'negative', 'score': 0.9872491955757141}",negative
hai smktxs cikoet maaf buat kamu gak nyaman kait kirim pesan aku saranin tunggu estimasi tiba lebih kece mohon informasi detail kendala via sosmed stay healthy,26,,"{'label': 'neutral', 'score': 0.9997909665107727}",neutral
mau nya apasih min kemarin skrg gabisa,7,,"{'label': 'negative', 'score': 0.9998757839202881}",negative
kak aku top mbca kali kok gak masuk yaa padahal mutasi udah potong bantu lumayan soal,16,,"{'label': 'negative', 'score': 0.9997593760490417}",negative
kata klaim sekali,3,,"{'label': 'negative', 'score': 0.9996143579483032}",negative
samaaa,1,,"{'label': 'positive', 'score': 0.9998452663421631}",positive
samaa ihh,2,,"{'label': 'negative', 'score': 0.9995095729827881}",negative
cuma sekali klaim,3,,"{'label': 'neutral', 'score': 0.9889512658119202}",neutral
aku gabisa klaim shopeepay thr gratis karna penuh syarat,9,,"{'label': 'neutral', 'score': 0.9996789693832397}",neutral
min sopipay aku udh potong pesan blm bayar,8,,"{'label': 'neutral', 'score': 0.9997997879981995}",neutral
sekarang cuma klaim shopeepay thr sekali doang,7,,"{'label': 'neutral', 'score': 0.99982088804245}",neutral
sekarang shoopepay thr cuma klaim sekali doang dah gaseru,9,,"{'label': 'negative', 'score': 0.9998311996459961}",negative
gue telat banget,3,,"{'label': 'negative', 'score': 0.9999209642410278}",negative
mau dong,2,,"{'label': 'positive', 'score': 0.9986559152603149}",positive
terima kasih atas info,4,,"{'label': 'neutral', 'score': 0.9922530055046082}",neutral
aku telat kayak wkwk,4,,"{'label': 'negative', 'score': 0.9998973608016968}",negative
aku mau ding kaa,4,,"{'label': 'positive', 'score': 0.8231887817382812}",positive
wow mauu dongg,3,,"{'label': 'negative', 'score': 0.9997678399085999}",negative
aku mau ini,3,,"{'label': 'positive', 'score': 0.9987820982933044}",positive
yah telat deh aku,4,,"{'label': 'negative', 'score': 0.9999182224273682}",negative
blm mohh,2,,"{'label': 'negative', 'score': 0.99472975730896}",negative
mau dong,2,,"{'label': 'positive', 'score': 0.9986559152603149}",positive
seru banget sih,3,,"{'label': 'positive', 'score': 0.999958872795105}",positive
yah tau gitu tadi gue coba,6,,"{'label': 'neutral', 'score': 0.9994729161262512}",neutral
chat aja kak aku dlu refund,6,,"{'label': 'neutral', 'score': 0.9998970031738281}",neutral
allah kemarin ngewar tiket kai access udahlah timeout jadwal gak sedia sekarang malah saldo sedot payment nya gagal plss lahhh walo dapet batagor bungkus solusi deh min,27,,"{'label': 'negative', 'score': 0.9951635599136353}",negative
yah sayang banget baru liat,5,,"{'label': 'positive', 'score': 0.7435663938522339}",positive
terima kasih atas info,4,,"{'label': 'neutral', 'score': 0.9922530055046082}",neutral
udah telat deh,3,,"{'label': 'negative', 'score': 0.9999152421951294}",negative
otw jadi balap thr,4,,"{'label': 'neutral', 'score': 0.9998459815979004}",neutral
wihh coba,2,,"{'label': 'positive', 'score': 0.9998899698257446}",positive
aku mau donggg thr nya,5,,"{'label': 'positive', 'score': 0.8325455188751221}",positive
waaa seger banget thrnyaa,4,,"{'label': 'positive', 'score': 0.9999572038650513}",positive
mau thr,2,,"{'label': 'negative', 'score': 0.9795241951942444}",negative
udah limit kali kaa aku mulung spay udah gabisa lagi,10,,"{'label': 'negative', 'score': 0.9998571872711182}",negative
iyaaaa woi,2,,"{'label': 'negative', 'score': 0.9998941421508789}",negative
sama,1,,"{'label': 'positive', 'score': 0.9995618462562561}",positive
wah sih kak,3,,"{'label': 'negative', 'score': 0.9988458156585693}",negative
wahh mau dong,3,,"{'label': 'positive', 'score': 0.9991193413734436}",positive
gabisa kak akuu,3,,"{'label': 'negative', 'score': 0.9997608065605164}",negative
yah aku spay,3,,"{'label': 'positive', 'score': 0.9996974468231201}",positive
aku mau bangttt,3,,"{'label': 'positive', 'score': 0.9999045133590698}",positive
wahh mau kak hehehe,4,,"{'label': 'positive', 'score': 0.9904088973999023}",positive
wihh kerenn sihh,3,,"{'label': 'positive', 'score': 0.9999473094940186}",positive
dapet gak yah,3,,"{'label': 'negative', 'score': 0.9888685941696167}",negative
aku mau min,3,,"{'label': 'positive', 'score': 0.9994822144508362}",positive
aku mau banget sihh,4,,"{'label': 'positive', 'score': 0.9998934268951416}",positive
wah mau dong,3,,"{'label': 'positive', 'score': 0.9964615702629089}",positive
iya benr bangett sih yaaa,5,,"{'label': 'negative', 'score': 0.9997746348381042}",negative
wah mau aku kakkk,4,,"{'label': 'positive', 'score': 0.9994910955429077}",positive
gue bagi sih,3,,"{'label': 'positive', 'score': 0.9421985149383545}",positive
aku telat,2,,"{'label': 'negative', 'score': 0.9999154806137085}",negative
iya bener banget sih,4,,"{'label': 'positive', 'score': 0.9999103546142578}",positive
nah seru banget sih,4,,"{'label': 'positive', 'score': 0.9999574422836304}",positive
wah lumayan bgt nihh,4,,"{'label': 'positive', 'score': 0.999896764755249}",positive
aku mau thr,3,,"{'label': 'neutral', 'score': 0.9995928406715393}",neutral
wahh telatt bgt aku,4,,"{'label': 'negative', 'score': 0.9999178647994995}",negative
duhh aku telat nih,4,,"{'label': 'negative', 'score': 0.9999171495437622}",negative
udah keduluan aja nii min,5,,"{'label': 'negative', 'score': 0.999805748462677}",negative
wah mau dong,3,,"{'label': 'positive', 'score': 0.9964615702629089}",positive
bentar kak,2,,"{'label': 'neutral', 'score': 0.8599294424057007}",neutral
