cleaned_text,label
kamu ngentot mengambil fee ribu besar banget anjing,negatif
cek dm minn,netral
cek dm woy,netral
pelayanan gopay bagaimana proses transfer nyangkut hari contact cs direpon apk amp email,positif
pelayananya gimana kakak gopay contact cs respon kitanya,positif
liat noh berapa kali saldo masuk gopayy gueeeee riwayat terakhirnya bulan februarii dm memberi respon apa kek banyak complain duitnya masuk ngasih solusi bikin laporan cuma dibales bot doang,negatif
gopay masuk sihh kemarin nanya cs jawabannya template mulu,negatif
kakk sumpah aku begini bahkan laporan gojeknya responnya punya kamu cuma template doang ngetikk keluhan,negatif
laporanku ditutup malahan kakak soalnya vanya hangus duluan padahal saldoku kepotong,negatif
kakak aku cepat banget kok kemarin saldoku buat laporan,negatif
gimana dahhh disuruh pilihan buat ngetik kamu suruh telepati top up kemaren waktu maintance siang bolong hari jumat k via va bca gamasuk saldo kepotong saldo gopay nambah warna merah kepotong tulisan berhasil,netral
tai lo seminggu anjg begini mulu,negatif
iya ngerti banget sekarang sering error begini transferan statusnya diproses terus beberapa hari lelet banget tuhaannn,negatif
hallo kakak cdm,positif
lah masalah selesaiselesai orang butuh uang masalah responnya hampir seminggu cuma template doang,negatif
kakk cdm yaa,netral
admin saldo cek dm dong,positif
blokir jelas emang gopaylater,negatif
akhirnya hari isi full cashback poin nya,negatif
cek dm admin,positif
nih aku sih blokir cuma payment pakai gopaylater,negatif
tweet diserang buzzer gopay later jualan dilapak orang bayar woe,negatif
pencurian saldo driver aplikasi orderan gocar hemat saldo driver dipotong kali parah banget jangan suka mencuri hak driver,negatif
mjb sekarang kakak punya aku soalnya,positif
halo mau upgrade gopay plus pernah busa bantuannya suket kelurahan kalaumemang beda nama ktp kakak,positif
admin cek dm,positif
punyamu kakak,negatif
penipu nimbrung kamu cari postingan lah,negatif
begini deh minta update tiket no memberi update progressnya,negatif
halo admin gopaylater dipakai muncul opsi pembayaran pernah telat bayar tagihan dibantu tks,negatif
admin gimana caranya nurunin limit gopay later kebanyakan minnn,netral
masuk yaa gopay tabungan kok dijelasin awal gopay tabungan apa masuk,negatif
senasib emang gitu layanan call chatpun ujungnya didiemin solusi,negatif
cek dm admin,positif
kakak punyaku pilihan payment pas aku cek apk gopay nya malah blokir,negatif
o p a y banyak promo,positif
gopay later diblokir,negatif
cek dm admin,positif
admin cek dm kali,positif
sedang trobel mau bayar paylater gagal terus soalnya,negatif
admin transaksi akulaku bayar pakai gopaylatter berhasil akulaku transaksi menunggu bayar,negatif
halo nomor penipuan kirain cs tiba minta kode otp anjg emang untung dilindungi maha kuasa,negatif
cek dm admin,positif
admin cek dm,positif
benerin dong sistemnyaa uang masuk terus duitnyaaa kemanaa tabungan,negatif
aku ngalamin biasanya lancar lancar gimana nihh,negatif
siaap kakak tunggu balasan temen sabil yaa sabil,negatif
transfer kali gopay nominal berhasil digunakan keterangan gagal refund,negatif
emmy bantu biar pulsanya segera diterima kakak riza dm nomor capture berhasil snid transaksinya terima kasih emmy,negatif
pulsa beli my telkomsel masuk pakai gopay pembayaranya,negatif
hai gopay dicek tiket pelaporan sama kalian main closed case padahal saldo masuk,negatif
laporan gimana,netral
hi admin kok sekarang gojek aku pilihan payment pakai gopaylater padahal ringkes pakai,netral
halo sahabat mohon maaf atas ketidaknyamanannya pesan dikirimkan melalui dm terima mohon kesediaannya mengirimkan tkskila,negatif
cek dm dong admin,netral
cek dm minn,netral
cek dm dong kakak,netral
ternyata lebih jelas spaylater,netral
sama pilihan gopaylater dm igx balesannya template solusi padahal urgent pakai paylater huhu,netral
admin cdm,positif
halo admin ayah top up gopay bri k lalu gopay kepotong masuk tabungan gopay pas cek tabungan gopay k gimana saldo k kemanaa tolonggg,negatif
admin cdm aku donggg dibantu,negatif
kaa cek dm yaa,negatif
cek dm dong admin,netral
cek dm admin,positif
tetep dibayar kakak,negatif
aplikasi gojeknya kakak bantuan laporan,positif
oalah,netral
mungkin bayar jadi deh,negatif
gopay makasiih bangeet lho joinan sama jago jadi perlu top up kalau mau bayar langsung debet kantong jago memudahkan kehidupan,netral
hmmm kumpulin info doloooo cuz,netral
heueheuehu kekmanalah menggoda kan,negatif
kepo yekan tanya langsung nih,negatif
admin cek dm,positif
